序号,名  称,一级分类编码,二级分类编码,食部(%),水分(g),能量（千卡）,能量（千焦）,蛋白质(g),脂肪(g),碳水化物(g),膳食纤维(g),胆固醇(mg),灰分(g),维生素A(μgRE),硫胺素(mg),核黄素(mg),维生素B6(mg),维生素B12(mg),叶酸(ug),烟碱(mg),维生素C(mg),维生素E(mg),钙(mg),磷(mg),钾(mg),钠(mg),镁(mg),铁(mg),锌(mg),硒(mg),铜(mg),锰(mg),碘(mg),胡萝卜素(μg),视黄醇(μg),尼克酸/烟酸(mg),α-维生素E(mg)
27,烙饼（标准粉）,11,11403,100,36.4,258,1082,7.5,2.3,52.9,1.9,0,0.9,0.0,0.02,0.04,0.0,0.0,0.0,0.0,0.0,1.03,20,146.0,141,0.0,51,2.4,0.94,7.5,0.15,1.15,0,0,0.0,0.0,0.3
28,馒头（代表值）,11,11404,100,43.9,223,934,7.0,1.1,47.0,1.3,0,1.0,0.0,0.04,0.05,0.0,0.0,0.0,0.0,0.0,0.65,38,107.0,138,0.0,30,1.8,0.71,8.45,0.1,0.78,0,0,0.0,0.0,0.35
29,馒头（标准粉）,11,11405,100,40.5,236,989,7.8,1.0,49.8,1.5,0,0.9,0.0,0.05,0.07,0.0,0.0,0.0,0.0,0.0,0.86,18,136.0,129,0.0,39,1.9,1.01,9.7,0.14,1.27,0,0,0.0,0.0,0.35
30,烧饼（加糖）,11,11407,100,25.9,298,1245,8.0,2.1,62.7,2.1,0,1.3,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.39,51,105.0,122,0.0,26,1.6,0.36,12.16,0.15,0.0,0,0,0.0,1.1,0.21
31,油饼,11,11408,100,24.8,403,1687,7.9,22.9,42.4,2.0,0,2.0,0.0,0.11,0.05,0.0,0.0,0.0,0.0,0.0,13.72,46,124.0,106,0.0,13,2.3,0.97,10.6,0.27,0.71,0,0,0.0,0.0,12.21
32,油条,11,11409,100,21.8,388,1624,6.9,17.6,51.0,0.9,0,2.7,0.0,0.01,0.07,0.0,0.0,0.0,0.7,0.0,3.19,6,77.0,227,0.0,19,1.0,0.75,8.6,0.19,0.52,0,0,0.0,0.7,2.74
33,花卷（加牛奶）,11,11410,100,30.8,282,1192,6.5,3.2,58.9,0.0,0,0.6,0.0,0.03,0.03,0.0,0.0,0.0,0.61,0.0,0.85,9,71.0,211,0.0,14,0.7,0.36,1.94,0.04,0.19,0,0,0.0,0.0,0.0
34,馒头（富强粉）,11,11411,100,40.3,235,994,7.1,1.3,50.9,0.0,0,0.4,0.0,0.12,0.02,0.0,0.0,0.0,0.79,0.0,0.09,58,43.0,146,0.0,20,1.7,0.4,7.2,0.05,0.29,0,0,0.0,0.0,0.0
35,水面筋,11,11501,100,63.5,142,595,23.5,0.1,12.3,0.9,0,0.6,0.0,0.1,0.07,0.0,0.0,0.0,0.0,0.0,0.65,76,133.0,69,0.0,26,4.2,1.76,1.0,0.19,0.86,0,0,0.0,1.1,0.35
36,油面筋,11,11502,100,7.1,492,2061,26.9,25.1,40.4,1.3,0,0.5,0.0,0.03,0.05,0.0,0.0,0.0,0.0,0.0,7.18,29,98.0,45,0.0,40,2.5,2.29,22.8,0.5,1.28,0,0,0.0,2.2,5.98
37,面筋（肉馅）,11,11503,100,49.2,364,1506,16.2,33.2,0.1,0.0,23,1.4,67.0,0.06,0.1,0.0,0.0,0.0,2.7,0.0,0.92,113,224.0,167,0.0,18,4.9,1.42,6.18,0.08,0.07,0,0,67.0,0.0,0.0
38,稻米（代表值）,12,12001,100,13.3,346,1453,7.9,0.9,77.2,0.6,0,0.7,0.0,0.15,0.04,0.0,0.0,0.0,2.0,0.0,0.43,8,112.0,112,0.0,31,1.1,1.54,2.83,0.25,1.13,0,0,0.0,1.9,0.0
39,粳米（标一）,12,12101,100,13.7,345,1442,7.7,0.6,77.4,0.6,0,0.6,0.0,0.16,0.08,0.0,0.0,0.0,0.0,0.0,1.01,11,121.0,97,0.0,34,1.1,1.45,2.5,0.19,1.36,0,0,0.0,1.3,0.39
40,粳米（标二）,12,12102,100,13.2,347,1454,8.0,0.6,77.7,0.4,0,0.5,0.0,0.22,0.05,0.0,0.0,0.0,0.0,0.0,0.53,3,99.0,78,0.0,20,0.4,0.89,6.4,0.28,0.77,0,0,0.0,2.6,0.39
41,粳米（标三）,12,12103,100,13.9,346,1446,7.2,0.8,77.6,0.4,0,0.5,0.0,0.33,0.03,0.0,0.0,0.0,0.0,0.0,0.3,5,108.0,78,0.0,0,0.7,0.93,5.4,0.28,0.89,0,0,0.0,3.6,0.3
42,粳米（标四）,12,12104,100,13.1,347,1453,7.5,0.7,78.1,0.7,0,0.6,0.0,0.14,0.05,0.0,0.0,0.0,0.0,0.0,0.39,4,123.0,106,0.0,20,0.7,0.97,4.87,0.26,1.07,0,0,0.0,5.2,0.28
43,粳米（特等）,12,12105,100,16.2,335,1401,7.3,0.4,75.7,0.4,0,0.4,0.0,0.08,0.04,0.0,0.0,0.0,0.0,0.0,0.76,24,80.0,58,0.0,25,0.9,1.07,2.49,0.26,1.0,0,0,0.0,1.1,0.33
44,粳米（极品精米）,12,12106,100,13.9,343,1456,6.4,1.2,78.1,0.0,0,0.4,0.0,0.06,0.02,0.0,0.0,0.0,0.67,0.0,0.0,3,69.0,86,0.0,25,0.2,1.76,4.17,0.23,1.14,0,0,0.0,0.0,0.0
45,粳米（西域王米）,12,12107,100,13.3,353,1498,7.5,1.8,77.0,0.6,0,0.4,0.0,0.07,0.04,0.0,0.0,0.0,0.0,0.0,1.0,5,66.0,119,0.0,17,0.8,1.02,2.92,0.24,0.43,0,0,0.0,0.0,0.0
46,粳米（小站稻米）,12,12108,100,12.9,346,1469,6.9,0.7,79.2,0.0,0,0.3,0.0,0.04,0.02,0.0,0.0,0.0,0.82,0.0,0.0,3,82.0,111,0.0,16,0.3,1.94,10.1,0.35,0.44,0,0,0.0,0.0,0.0
47,籼米（标一）,12,12201,100,13.0,348,1454,7.7,0.7,77.9,0.6,0,0.7,0.0,0.15,0.06,0.0,0.0,0.0,0.0,0.0,0.43,7,146.0,89,0.0,33,1.3,1.46,3.8,0.23,1.0,0,0,0.0,2.1,0.43
48,籼米（标准）[机米],12,12202,100,12.6,349,1459,7.9,0.6,78.3,0.8,0,0.6,0.0,0.09,0.04,0.0,0.0,0.0,0.0,0.0,0.54,12,112.0,109,0.0,28,1.6,1.47,1.99,0.29,1.27,0,0,0.0,1.4,0.43
49,籼米（优标）,12,12203,100,12.8,350,1466,8.3,1.0,77.3,0.5,0,0.6,0.0,0.13,0.02,0.0,0.0,0.0,0.0,0.0,0.0,8,85.0,64,0.0,13,0.5,1.6,6.9,0.3,1.02,0,0,0.0,2.6,0.0
50,早籼,12,12204,64,10.2,361,1512,9.9,2.2,76.2,1.4,0,1.5,0.0,0.14,0.05,0.0,0.0,0.0,0.0,0.0,0.25,13,257.0,214,0.0,0,5.1,2.73,1.84,0.25,2.73,0,0,0.0,5.0,0.04
51,早籼（标一）,12,12205,100,12.3,352,1474,8.8,1.0,77.2,0.4,0,0.7,0.0,0.16,0.05,0.0,0.0,0.0,0.0,0.0,0.0,10,141.0,124,0.0,57,1.2,1.59,2.05,0.23,1.21,0,0,0.0,2.0,0.0
52,早籼（标二）,12,12206,100,13.7,346,1449,9.5,1.0,75.1,0.5,0,0.7,0.0,0.2,0.09,0.0,0.0,0.0,0.0,0.0,0.0,6,192.0,171,0.0,79,1.0,1.89,1.82,0.55,1.84,0,0,0.0,3.0,0.0
53,早籼（特等）,12,12207,100,12.9,347,1453,9.1,0.6,76.7,0.7,0,0.7,0.0,0.13,0.03,0.0,0.0,0.0,0.0,0.0,0.0,6,141.0,108,0.0,42,0.9,1.54,2.07,0.4,1.3,0,0,0.0,1.6,0.0
54,晚籼（标一）,12,12208,100,13.5,346,1448,7.9,0.7,77.3,0.5,0,0.6,0.0,0.17,0.05,0.0,0.0,0.0,0.0,0.0,0.22,9,140.0,112,0.0,53,1.2,1.52,2.83,0.16,1.11,0,0,0.0,1.7,0.06
55,晚籼（标二）,12,12209,100,14.2,344,1438,8.6,0.8,75.7,0.4,0,0.7,0.0,0.18,0.06,0.0,0.0,0.0,0.0,0.0,0.0,6,141.0,146,0.0,60,2.8,1.89,2.26,0.2,1.05,0,0,0.0,2.6,0.0
56,晚籼（特等）,12,12210,100,14.0,342,1432,8.1,0.3,76.9,0.2,0,0.7,0.0,0.09,0.1,0.0,0.0,0.0,0.0,0.0,0.0,6,104.0,107,0.0,28,0.7,1.5,1.56,0.23,0.89,0,0,0.0,1.5,0.0
57,籼稻谷（红）,12,12211,64,13.4,348,1454,7.0,2.0,76.4,2.0,0,1.2,0.0,0.15,0.03,0.0,0.0,0.0,0.0,0.0,0.19,0,0.0,220,0.0,0,5.5,3.29,3.12,0.35,3.2,0,0,0.0,5.1,0.19
58,黑米,12,12212,100,14.3,341,1427,9.4,2.5,72.2,3.9,0,1.6,0.0,0.33,0.13,0.0,0.0,0.0,0.0,0.0,0.22,12,356.0,256,0.0,147,1.6,3.8,3.2,0.15,1.72,0,0,0.0,7.9,0.0
59,香米,12,12213,100,12.9,347,1453,12.7,0.9,72.4,0.6,0,1.1,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.7,8,106.0,49,0.0,12,5.1,0.69,4.6,0.52,1.75,0,0,0.0,2.6,0.39
60,籼米,12,12214,100,13.1,340,1441,7.5,1.1,78.0,0.0,0,0.3,0.0,0.07,0.02,0.0,0.0,0.0,0.94,0.0,0.0,12,112.0,109,0.0,28,0.1,0.15,2.76,0.01,0.02,0,0,0.0,0.0,0.0
61,糙米,12,12216,100,13.4,348,1475,7.7,2.7,75.0,3.4,0,1.2,0.0,0.38,0.04,0.0,0.0,0.0,0.0,0.0,1.32,10,304.0,230,0.0,123,1.8,1.79,0.0,0.24,3.04,0,0,0.0,0.0,0.0
62,糯米[江米],12,12301,100,12.6,350,1464,7.3,1.0,78.3,0.8,0,0.8,0.0,0.11,0.04,0.0,0.0,0.0,0.0,0.0,1.29,26,113.0,137,0.0,49,1.4,1.54,2.71,0.25,1.54,0,0,0.0,2.3,0.87
63,优糯米,12,12302,100,14.2,345,1443,9.0,1.0,75.3,0.6,0,0.5,0.0,0.1,0.03,0.0,0.0,0.0,0.0,0.0,0.93,8,48.0,136,0.0,50,0.8,1.2,2.8,0.25,0.86,0,0,0.0,1.9,0.39
64,早糯谷,12,12303,64,11.3,360,1505,7.1,3.2,77.0,2.8,0,1.4,7.0,0.19,0.04,0.0,0.0,0.0,0.0,0.0,0.13,19,297.0,0,0.0,149,3.0,4.92,1.98,0.53,0.0,0,40,7.0,0.7,0.0
65,紫红糯米[血糯米],12,12304,100,13.8,346,1448,8.3,1.7,75.1,1.4,0,1.1,0.0,0.31,0.12,0.0,0.0,0.0,0.0,0.0,1.36,13,183.0,219,0.0,16,3.9,2.16,2.88,0.29,2.37,0,0,0.0,4.2,0.94
66,粳糯米,12,12305,100,13.8,344,1440,7.9,0.8,76.7,0.7,0,0.8,0.0,0.2,0.05,0.0,0.0,0.0,0.0,0.0,0.08,21,94.0,125,0.0,42,1.9,1.77,3.3,0.24,1.56,0,0,0.0,1.7,0.08
67,籼糯米,12,12306,100,12.3,353,1475,7.9,1.1,78.0,0.5,0,0.7,0.0,0.19,0.04,0.0,0.0,0.0,0.0,0.0,0.0,14,82.0,132,0.0,52,1.8,1.52,2.4,0.17,1.31,0,0,0.0,2.3,0.0
68,米饭（蒸，代表值）,12,12401,100,70.9,116,486,2.6,0.3,25.9,0.3,0,0.3,0.0,0.02,0.03,0.0,0.0,0.0,0.0,0.0,0.0,7,62.0,30,0.0,15,1.3,0.92,0.4,0.06,0.58,0,0,0.0,1.9,0.0
69,粳米饭（蒸）,12,12402,100,70.6,118,492,2.6,0.3,26.2,0.2,0,0.3,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,7,62.0,39,0.0,20,2.2,1.36,0.4,0.08,0.85,0,0,0.0,2.0,0.0
70,粳米粥,12,12404,100,88.6,46,195,1.1,0.3,9.9,0.1,0,0.1,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,7,20.0,13,0.0,7,0.1,0.2,0.2,0.03,0.2,0,0,0.0,0.2,0.0
71,籼米粉[排米粉],12,12405,100,10.7,356,1489,7.4,0.1,81.5,0.3,0,0.3,0.0,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,6,62.0,14,0.0,16,3.2,0.8,7.48,0.3,0.6,0,0,0.0,0.6,0.0
72,籼米粉（干，细）,12,12406,100,12.3,346,1447,8.0,0.1,78.3,0.1,0,1.3,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,53.0,43,0.0,23,1.4,2.27,3.44,0.09,0.63,0,0,0.0,0.2,0.0
73,高蛋白豆米粉（籼米）,12,12407,100,2.0,414,1732,16.5,7.1,71.0,0.0,0,3.4,0.0,1.1,0.68,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
74,籼米饭（蒸）,12,12408,100,70.1,117,497,3.0,0.4,26.4,0.4,0,0.2,0.0,0.02,0.03,0.0,0.0,0.0,0.0,0.0,0.0,6,0.0,21,0.0,10,0.3,0.47,0.0,0.04,0.31,0,0,0.0,0.0,0.0
75,籼米粥,12,12409,100,85.0,59,251,1.3,0.2,13.4,0.0,0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,20.0,13,0.0,7,0.1,0.12,0.74,0.3,0.6,0,0,0.0,0.0,0.0
76,米粉,12,12410,100,12.7,349,1481,0.4,0.8,85.8,0.0,0,0.3,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,11,45.0,19,0.0,6,2.4,0.36,0.45,0.0,0.08,0,0,0.0,0.0,0.0
77,河粉,12,12411,100,11.2,359,1522,7.7,1.5,79.2,0.0,0,0.4,0.0,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.23,51,105.0,83,0.0,23,1.0,1.57,4.19,0.24,0.71,0,0,0.0,0.0,0.0
78,玉米（鲜）,13,13101,46,71.3,112,469,4.0,1.2,22.8,2.9,0,0.7,0.0,0.16,0.11,0.0,0.0,0.0,0.0,16.0,0.46,0,117.0,238,0.0,32,1.1,0.9,1.63,0.09,0.22,0,0,0.0,1.8,0.0
79,玉米（白，干）,13,13102,100,11.7,352,1474,8.8,3.8,74.7,8.0,0,1.0,0.0,0.27,0.07,0.0,0.0,0.0,0.0,0.0,8.23,10,244.0,262,0.0,95,2.2,1.85,4.14,0.26,0.51,0,0,0.0,2.3,1.08
80,玉米（黄，干）,13,13103,100,13.2,348,1457,8.7,3.8,73.0,6.4,0,1.3,17.0,0.21,0.13,0.0,0.0,0.0,0.0,0.0,3.89,14,218.0,300,0.0,96,2.4,1.7,3.52,0.25,0.48,0,100,17.0,2.5,0.77
81,玉米面（白）,13,13104,100,13.4,352,1475,8.0,4.5,73.1,6.2,0,1.0,0.0,0.34,0.06,0.0,0.0,0.0,0.0,0.0,6.89,12,187.0,276,0.0,111,1.3,1.22,1.58,0.23,0.4,0,0,0.0,3.0,0.94
82,玉米面（强化豆粉）,13,13106,100,13.6,352,1472,11.8,4.9,68.3,6.4,0,1.4,0.0,0.21,0.04,0.0,0.0,0.0,0.0,0.0,7.13,18,234.0,370,0.0,106,3.4,1.28,9.15,0.38,0.74,0,0,0.0,3.1,0.85
83,玉米粒（黄、干）,13,13108,100,11.8,327,1382,8.0,0.8,79.2,0.0,0,0.2,8.0,0.03,0.02,0.0,0.0,0.0,0.56,0.0,0.38,0,0.0,0,0.0,0,0.0,0.0,1.24,0.0,0.0,0,0,8.0,0.0,0.0
84,玉米面（黄）,13,13109,100,11.2,350,1483,8.5,1.5,78.4,5.6,0,1.3,7.0,0.26,0.09,0.0,0.0,0.0,0.0,0.0,3.8,22,196.0,249,0.0,84,3.2,1.42,2.49,0.35,0.47,0,0,7.0,0.0,0.0
85,玉米糁（黄）,13,13110,100,12.5,326,1378,7.4,1.2,78.7,3.6,0,0.7,0.0,0.1,0.08,0.0,0.0,0.0,0.0,0.0,0.57,49,143.0,177,0.0,151,2.4,1.16,4.9,0.16,0.22,0,0,0.0,0.0,0.0
86,玉米笋（罐头）,13,13201,100,93.0,16,67,1.1,0.2,4.9,4.9,0,1.3,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,4.0,36,0.0,0,0.1,0.33,0.8,0.02,0.12,0,40,7.0,0.0,0.0
87,玉米面面条,13,13202,100,12.3,350,1486,6.6,0.3,80.5,0.6,0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
88,大麦[元麦],14,14101,100,13.1,327,1367,10.2,1.4,73.3,9.9,0,2.0,0.0,0.43,0.14,0.0,0.0,0.0,0.0,0.0,1.23,66,381.0,49,0.0,158,6.4,4.36,9.8,0.63,1.23,0,0,0.0,3.9,1.23
89,黑大麦,14,14102,100,10.9,327,1381,10.2,2.2,74.3,9.9,0,2.0,0.0,0.54,0.14,0.0,0.0,0.0,5.4,0.0,0.0,20,390.0,241,0.0,69,6.5,2.33,3.99,1.09,1.17,0,0,0.0,0.0,0.0
90,肚里黄,14,14201,100,11.6,337,1409,8.8,1.2,76.7,8.0,0,1.7,0.0,0.37,0.02,0.0,0.0,0.0,0.0,0.0,1.28,3,436.0,223,0.0,80,2.4,2.31,0.0,13.66,1.08,0,0,0.0,1.6,0.76
91,青稞,14,14202,100,12.4,342,1432,8.1,1.5,75.0,1.8,0,3.0,0.0,0.34,0.11,0.0,0.0,0.0,0.0,0.0,0.96,113,405.0,644,0.0,65,40.7,2.38,4.6,5.13,2.08,0,0,0.0,6.7,0.72
92,小米,15,15101,100,11.6,361,1511,9.0,3.1,75.1,1.6,0,1.2,17.0,0.33,0.1,0.0,0.0,0.0,0.0,0.0,3.63,41,229.0,284,0.0,107,5.1,1.87,4.74,0.54,0.89,0,100,17.0,1.5,0.0
93,小米面,15,15102,100,11.8,357,1494,7.2,2.1,77.7,0.7,0,1.2,0.0,0.13,0.08,0.0,0.0,0.0,0.0,0.0,0.0,40,159.0,129,0.0,57,6.1,1.18,2.82,0.32,0.55,0,0,0.0,2.5,0.0
94,小米粥,15,15103,100,89.3,46,190,1.4,0.7,8.4,0.0,0,0.2,0.0,0.02,0.07,0.0,0.0,0.0,0.0,0.0,0.26,10,32.0,19,0.0,22,1.0,0.41,0.3,0.07,0.16,0,0,0.0,0.9,0.0
95,小米（黄）,15,15104,100,9.7,364,1542,8.9,3.0,77.7,0.0,0,0.7,0.0,0.32,0.06,0.0,0.0,0.0,1.04,0.0,1.62,8,158.0,335,0.0,50,1.6,2.81,2.72,0.41,0.38,0,0,0.0,0.0,0.0
96,大黄米[黍子],15,15201,100,11.3,356,1490,13.6,2.7,71.1,3.5,0,1.3,0.0,0.3,0.09,0.0,0.0,0.0,0.0,0.0,1.79,30,244.0,201,0.0,116,5.7,3.05,2.31,0.57,1.5,0,0,0.0,1.4,0.87
97,黄米,15,15202,100,11.1,351,1469,9.7,1.5,76.9,4.4,0,0.8,0.0,0.09,0.13,0.0,0.0,0.0,0.0,0.0,4.61,0,0.0,0,0.0,0,0.0,2.07,0.0,0.9,0.23,0,0,0.0,1.3,0.0
98,高粱米,19,19001,100,10.3,360,1505,10.4,3.1,74.7,4.3,0,1.5,0.0,0.29,0.1,0.0,0.0,0.0,0.0,0.0,1.88,22,329.0,281,0.0,129,6.3,1.64,2.83,0.53,1.22,0,0,0.0,1.6,1.8
99,糜子（带皮）,19,19002,100,9.4,336,1404,10.6,0.6,75.1,6.3,0,4.3,0.0,0.45,0.18,0.0,0.0,0.0,0.0,0.0,3.5,99,205.0,148,0.0,146,5.0,2.07,12.01,0.61,1.1,0,0,0.0,1.2,3.5
100,糜子米（炒米）,19,19003,100,7.6,376,1572,8.1,2.6,80.5,1.0,0,1.2,0.0,0.29,0.04,0.0,0.0,0.0,0.0,0.0,0.0,12,233.0,252,0.0,112,14.3,1.89,4.53,0.45,0.63,0,0,0.0,0.7,0.0
